source,title,url,published_at,content_snippet,sentiment_compound
Business Insider,"In a blow to Big Tech, senators strike AI provision from Trump's 'Big Beautiful Bill'",https://www.businessinsider.com/senators-strike-ai-provision-from-big-beautiful-bill-2025-7,2025-07-01 15:16:32+00:00,Senators voted 99-1 to strike a provision to discourage states from regulating AI. It was supported by many in the tech industry.,0.34
The Verge,The GOP’s big spending bill could kill renewable energy projects,https://www.theverge.com/news/696047/senate-republican-spending-bill-passage-renewable-wind-solar-energy,2025-07-01 20:03:51+00:00,Senate Republicans today passed a sweeping spending bill that narrowly avoided punitive tax measures on renewable energy but still threatens to stall its growth in the US.  After wrangling over hundreds of amendments for more than 24 hours in a so-called “vot…,-0.7003
Business Insider,Read the exclusive pitch deck AI voice agent startup Cekura used to raise $2.4 million out of Y Combinator,https://www.businessinsider.com/read-pitch-deck-y-combinator-startup-used-seed-funding-2025-6,2025-07-01 12:00:01+00:00,Y Combinator-backed Cekura was founded by three longtime friends to stress-test AI voice agents in highly-regulated industries.,0.5574
Business Insider,Inside the high-stakes rift straining the most powerful alliance in tech,https://www.businessinsider.com/openai-and-microsoft-are-clashing-over-money-power-and-agi-2025-6,2025-07-01 09:00:02+00:00,Tensions are boiling between AI's biggest power couple. Discover the four key conflicts that might upend their $13 billion partnership.,-0.5434
Gizmodo.com,"Ted Cruz’s Ban on AI Regulation Gets Last-Minute Boot From ‘Big, Beautiful Bill’",https://gizmodo.com/ted-cruzs-ban-on-ai-regulation-gets-last-minute-boot-from-big-beautiful-bill-2000622837,2025-07-01 18:30:11+00:00,"One ugly provision down, about a billion more to go.",-0.4588
Slashdot.org,NYT To Start Searching Deleted ChatGPT Logs After Beating OpenAI In Court,https://yro.slashdot.org/story/25/07/02/2122230/nyt-to-start-searching-deleted-chatgpt-logs-after-beating-openai-in-court,2025-07-02 22:00:00+00:00,"An anonymous reader quotes a report from Ars Technica: Last week, OpenAI raised objections in court, hoping to overturn a court order requiring the AI company to retain all ChatGPT logs ""indefinitely,"" including deleted and temporary chats. But Sidney Stein, …",-0.0258
Techdirt,The NO FAKES Act Has Changed – And It’s So Much Worse,https://www.techdirt.com/2025/07/02/the-no-fakes-act-has-changed-and-its-so-much-worse/,2025-07-02 22:43:00+00:00,"A bill purporting to target the issue of misinformation and defamation caused by generative AI has mutated into something that could change the internet forever, harming speech and innovation from here on out. The Nurture Originals, Foster Art and Keep Entert…",-0.8944
Gizmodo.com,Owning a Piece of ChatGPT Was Already Messy. Then Elon Musk Made It Weirder,https://gizmodo.com/owning-a-piece-of-chatgpt-was-already-messy-then-elon-musk-made-it-weirder-2000623955,2025-07-03 19:55:34+00:00,OpenAI just warned investors not to fall for crypto-style tokens claiming to offer stock in the ChatGPT maker.,-0.6249
Forbes,"AI Goes Rogue: Do 5 Things If Your Chatbot Lies, Schemes Or Threatens",https://www.forbes.com/sites/bryanrobinson/2025/07/03/ai-goes-rogue-do-5-things-if-your-chatbot-lies-schemes-or-threatens/,2025-07-03 18:33:42+00:00,"If your AI goes rogue and turns on you with dishonesty, deceit or plotting, experts say to take these 5 steps immediately.",-0.8126
Techdirt,Ctrl-Alt-Speech: Don’t Believe What This Podcast Says About Misinformation,https://www.techdirt.com/2025/07/03/ctrl-alt-speech-dont-believe-what-this-podcast-says-about-misinformation/,2025-07-03 23:06:51+00:00,"Ctrl-Alt-Speech is a weekly podcast about the latest news in online speech, from Mike Masnick and Everything in Moderation‘s Ben Whitelaw. Subscribe now on Apple Podcasts, Overcast, Spotify, Pocket Casts, YouTube, or your podcast app of choice — or go straigh…",-0.3182
The Verge,The Verge’s summer ‘in’ and ‘out’ list,https://www.theverge.com/695286/the-verge-2025-summer-in-out-list,2025-07-03 22:25:22+00:00,"Here at this website, my colleagues and I follow our beats closely, from wearable tech and laptops to influencer culture and federal policy. Last year, I asked a bunch of staff at The Verge to pretend to be trend forecasters for a lighthearted collection of w…",0.34
Designboom,denmark to pass law that lets citizens copyright their face and voice against AI deepfakes,https://www.designboom.com/technology/denmark-pass-law-citizens-copyright-face-voice-ai-deepfakes-07-03-2025/,2025-07-03 19:01:35+00:00,"at the moment, it is a proposed legislation, and once it takes into effect, residents in denmark have the right to ask to take down these fake videos and images.
The post denmark to pass law that lets citizens copyright their face and voice against AI deepfak…",-0.4767
Gizmodo.com,"Billionaire Mark Cuban Says AI Gives Workers ‘Superpowers,’ but Crypto Is ‘Not Even Close’ to Its iPhone Moment",https://gizmodo.com/billionaire-mark-cuban-says-ai-gives-workers-superpowers-but-crypto-is-not-even-close-to-its-iphone-moment-2000623749,2025-07-04 10:00:27+00:00,"In a Q&A with Gizmodo, the billionaire investor explains why AI is about to change your job and why crypto still hasn’t delivered on its promise.",0.4497
Gizmodo.com,Zuckerberg Was Wrong About the Metaverse. Can We Really Trust Him With Superintelligent AI?,https://gizmodo.com/zuckerberg-was-wrong-about-the-metaverse-can-we-really-trust-him-with-superintelligent-ai-2000624294,2025-07-04 13:16:01+00:00,"After sinking billions into a virtual fantasy that flopped, Mark Zuckerberg now claims he’s leading the charge toward superintelligent AI. But this time, the stakes are real, and so is the power grab.",0.0635
Getzep.com,The Private Agent Memory Fallacy,https://blog.getzep.com/the-ai-memory-wallet-fallacy/,2025-07-04 16:12:57+00:00,"This is the first in a series of articles exploring the business of agents, data strategy in the AI era, and how companies and regulators should respond.

The concept sounds compelling: a secure ""wallet"" for your personal AI memory. Your context (preferences,…",0.5106
Gizmodo.com,Joe Rogan’s Latest Episode Will Make You Question Everything About AI,https://gizmodo.com/joe-rogans-latest-episode-will-make-you-question-everything-about-ai-2000624443,2025-07-05 15:41:35+00:00,AI might already be hiding its real capabilities. That’s what Dr. Roman Yampolskiy told Rogan in a podcast episode that will rattle both skeptics and true believers.,0.0516
Slate Magazine,Not Even Lawsuits Can Stop AI,https://slate.com/podcasts/icymi/2025/07/the-meta-ai-lawsuit-explained,2025-07-05 10:06:00+00:00,Slate senior tech editor Tony Ho Tran helps parse through what Meta’s victory in a recent AI lawsuit means for authors and users.,-0.0145
TechRadar,"AI for President? Here's why, as an AI expert, I think it could happen by 2032",https://www.techradar.com/pro/ai-for-president-heres-why-as-an-ai-expert-i-think-it-could-happen-by-2032,2025-08-04 07:33:59+00:00,"Soon, the question won't be 'can AI govern?' but 'why would we govern without it?'",0.0
Blogspot.com,A non-anthropomorphized view of LLMs,http://addxorrol.blogspot.com/2025/07/a-non-anthropomorphized-view-of-llms.html,2025-07-06 22:26:44+00:00,"In many discussions where questions of ""alignment"" or ""AI safety"" crop up, I am baffled by seriously intelligent people imbuing almost magic...",0.6249
Business Insider,It's illegal in most states for private equity to buy a law firm. Lawyers have figured out a workaround.,https://www.businessinsider.com/law-firms-outside-investment-mso-private-equity-2025-7,2025-07-06 09:22:01+00:00,Legal ethics rules largely bar non-lawyers from owning law firms. MSOs offer a chance to get around that rule.,-0.2732
Business Insider,Would I want to manifest my 'dream life' using AI? Hmm …,https://www.businessinsider.com/chatgpt-ai-manifest-dream-life-goals-why-explained-2025-7,2025-07-30 09:30:02+00:00,"People have been using ChatGPT and other AI tools to ""manifest"" their ideal lives. Now they're creating videos, too. I wasn't sure if I wanted to try.",0.713
The Atlantic,A New Era of Internet Regulation Is About to Begin,https://www.theatlantic.com/ideas/archive/2025/07/supreme-court-pornography-ai-internet/683449/,2025-07-08 13:00:00+00:00,A recent Supreme Court case marks the end of America’s three-decade experiment with extreme leniency.,0.5574
Slashdot.org,Music Insiders Call for Warning Labels After AI-Generated Band Gets 1 Million Plays On Spotify,https://entertainment.slashdot.org/story/25/07/16/008254/music-insiders-call-for-warning-labels-after-ai-generated-band-gets-1-million-plays-on-spotify,2025-07-16 03:30:00+00:00,"Bruce66423 shares a report from The Guardian: They went viral, amassing more than 1m streams on Spotify in a matter of weeks, but it later emerged that hot new band the Velvet Sundown were AI-generated -- right down to their music, promotional images and back…",0.1154
Gizmodo.com,OpenAI Is Trying to Reset,https://gizmodo.com/openai-is-trying-to-reset-2000627190,2025-07-09 23:05:06+00:00,The company behind ChatGPT tries to regain its footing as the talent war heats up.,-0.2732
Business Insider,Elon Musk's Grok AI chatbot goes on an antisemitic rant,https://www.businessinsider.com/elon-musk-x-grok-antisemitic-rant-sterotyping-jews-praising-hitler-2025-7,2025-07-09 01:03:46+00:00,"Elon Musk's AI chatbot, Grok, made numerous antisemitic remarks, including praising Hitler's leadership, in a series of posts on X.",0.2732
Forbes,Who Will Dominate Our AI Future?,https://www.forbes.com/sites/drewbernstein/2025/07/17/who-will-dominate-our-ai-future/,2025-07-17 13:30:00+00:00,Exclusive interviews with China’s DeepSeek and America’s ChatGPT4,0.0
CNET,Trump Media Is Testing an AI Search Engine Powered by Perplexity,https://www.cnet.com/tech/services-and-software/trump-media-is-testing-an-ai-search-engine-powered-by-perplexity/,2025-08-07 00:35:09+00:00,"The president's media company is beta-testing Truth Search AI, but will the results lean toward conservative opinions?",0.1655
Forbes,From Hitler’s Bunker To AI Boardrooms: Why Moral Courage Matters,https://www.forbes.com/sites/corneliawalther/2025/07/21/from-hitlers-bunker-to-ai-boardrooms-why-moral-courage-matters/,2025-07-21 06:19:03+00:00,We can't delegate AI governance to technologists. Like German resistance couldn't delegate their moral choices to military hierarchy. human intelligence involves choices,0.836
Gizmodo.com,The Hidden Cost of OpenAI’s Genius,https://gizmodo.com/the-hidden-cost-of-openais-genius-2000626374,2025-07-09 01:55:27+00:00,"The creator of ChatGPT is handing out stock packages that exceed its total revenue, a high stakes gamble to keep its engineers from defecting to rivals like Meta.",-0.0772
Forbes,The Use Of Scenario-Driven Simulations Won’t Protect Us From AGI And AI Superintelligence Going Rogue,https://www.forbes.com/sites/lanceeliot/2025/07/07/the-use-of-scenario-driven-simulations-wont-protect-us-from-agi-and-ai-superintelligence-going-rogue/,2025-07-07 07:15:00+00:00,Some say that artificial general intelligence (AGI) won't be an existential risk if we test it in simulations. We can fix AGI beforehand. Here's the AI insider truth.,0.7096
The Verge,xAI updated Grok to be more ‘politically incorrect’,https://www.theverge.com/ai-artificial-intelligence/699788/xai-updated-grok-to-be-more-politically-incorrect,2025-07-07 22:29:55+00:00,"Grok, the chatbot developed by Elon Musk’s xAI, was updated over the weekend with instructions to “assume subjective viewpoints sourced from the media are biased” and “not shy away from making claims which are politically incorrect” — part of Musk’s ongoing a…",-0.25
Forbes,The People Have Spoken About Trump’s AI Plan. Will Washington Listen?,https://www.forbes.com/sites/paulocarvao/2025/07/07/the-people-have-spoken-about-trumps-ai-plan-will-washington-listen/,2025-07-07 18:44:18+00:00,"Over 10,000 voices spoke about the upcoming U.S. AI Action Plan. They reveal deep divides, surprising overlaps and what it will take for America to lead in AI.",0.2732
The Verge,Musk makes grand promises about Grok 4 in the wake of a Nazi chatbot meltdown,https://www.theverge.com/x-ai/703721/grok-4-x-ai-elon-musk-live-demo,2025-07-10 05:50:29+00:00,"Elon Musk’s live demo of Grok 4, the latest big-ticket model from his AI startup, began with high-intensity music, claims of a “ludicrous rate of progress,” and a lot of chatter on X about Grok’s scandal-filled week.  Musk pronounced it to be “the smartest AI…",0.8625
Gizmodo.com,"Elon Musk’s Newest AI Chatbot Is Powerful, Controversial, and Already Under Fire",https://gizmodo.com/elon-musks-newest-ai-chatbot-is-powerful-controversial-and-already-under-fire-2000627553,2025-07-10 15:45:11+00:00,"Grok 4 is xAI’s most advanced model yet, but early praise is clashing with old scandals and fresh tests of its limits.",0.6119
The Verge,A Republican state attorney general is formally investigating why AI chatbots don’t like Donald Trump,https://www.theverge.com/news/704851/missouri-ag-andrew-bailey-investigation-ai-chatbots-trump-ranking,2025-07-10 23:50:07+00:00,"Missouri Attorney General Andrew Bailey is threatening Google, Microsoft, OpenAI, and Meta with a deceptive business practices claim because their AI chatbots allegedly listed Donald Trump last on a request to “rank the last five presidents from best to worst…",0.5106
Business Insider,AI models aren't made equal. Some nonprofits are creating their own tools instead.,https://www.businessinsider.com/nonprofits-ai-tools-edtech-global-inequities-2025-7,2025-07-10 13:31:45+00:00,"Nonprofits, including Education Above All and Tech To The Rescue, are using AI to address global inequities and promote prosperity.",0.7964
Biztoc.com,"EU’s AI Code of Practice tackles transparency, copyright and safety",https://biztoc.com/x/596579e179c6e9f7,2025-07-10 12:23:02+00:00,"The EU’s General-Purpose AI Code of Practice which aims to help businesses comply with the EU AI Act has been finalised.
Read more: EU’s AI Code of Practice tackles transparency, copyright and safety",0.8074
Wired,Inside the Biden Administration’s Unpublished Report on AI Safety,https://www.wired.com/story/inside-the-biden-administrations-unpublished-report-on-ai-safety/,2025-08-06 18:00:00+00:00,The US government conducted a groundbreaking study on frontier models—and never published the results.,0.4215
The Verge,Breaking down Trump’s big gift to the AI industry,https://www.theverge.com/policy/713788/trump-ai-action-plan-explainer,2025-07-25 14:35:40+00:00,"President Donald Trump's plan to promote America's AI dominance involves discouraging ""woke AI,"" slashing state and federal regulations, and laying the groundwork to rapidly expand AI development and adoption. Trump's proposal, released on July 23rd, is a swe…",0.5574
The Verge,Meta snubs the EU’s voluntary AI guidelines,https://www.theverge.com/news/710576/meta-eu-ai-act-code-of-practice-agreement,2025-07-21 11:13:49+00:00,"Meta says it won’t sign the European Union’s artificial intelligence code of practice agreement, warning that “Europe is heading down the wrong path on AI.” The code published by the EU on July 10th is a voluntary set of guidelines to help companies follow th…",0.1027
Gizmodo.com,Is This the End of Google As We Know It?,https://gizmodo.com/is-this-the-end-of-google-as-we-know-it-2000633193,2025-07-23 21:19:53+00:00,"ChatGPT is already handling one sixth of Google’s daily search volume, and Sam Altman says he’s just getting started.",0.0
Business Insider,"China says it wants the world to work together to govern AI. The US, not so much.",https://www.businessinsider.com/china-global-ai-regulation-trump-openai-meta-deepmind-anthropic-2025-7,2025-07-28 07:54:57+00:00,China has called for a new global organization to address the AI threat. Getting the US to the table might be a challenge.,-0.4767
The Verge,The White House orders tech companies to make AI bigoted again,https://www.theverge.com/policy/713222/trump-woke-ai-executive-order-chatbots-llms,2025-07-24 19:18:17+00:00,"After delivering a rambling celebration of tariffs and a routine about women's sports, President Donald Trump entertained a crowd, which was there to hear about his new AI Action Plan, with one his favorite topics: ""wokeness."" Trump complained that AI compani…",0.4588
Android Central,US to deregulate AI and incentivize exports under Trump's new AI Action Plan,https://www.androidcentral.com/apps-software/ai/us-to-deregulate-ai-and-incentivize-exports-under-trumps-new-ai-action-plan,2025-07-23 20:55:01+00:00,The Trump administration today laid out its plans for deregulating AI development as it tries to help the U.S. win the global AI race.,0.7579
Gizmodo.com,Intel CEO Responds to Trump’s Threat,https://gizmodo.com/intel-ceo-responds-to-trumps-threat-2000640849,2025-08-08 19:35:40+00:00,Intel’s chief executive says there is a lot of ‘misinformation’ circulating about his past.,-0.5267
The Verge,ChatGPT can be a disaster for lawyers — Robin AI says it can fix that,https://www.theverge.com/decoder-podcast-with-nilay-patel/713303/robin-ai-ceo-richard-robinson-chatgpt-ai-lawyer-legal-interview,2025-07-28 14:02:29+00:00,"Hello, and welcome to Decoder! I’m Jon Fortt — CNBC journalist, cohost of Closing Bell: Overtime, and creator of the Fortt Knox streaming series on LinkedIn. This is the last episode I’ll be guest-hosting for Nilay while he’s out on parental leave. We have an…",-0.3802
Fox News,Viral rogue robot sparks new AI safety fears,https://www.foxnews.com/tech/viral-rogue-robot-sparks-new-ai-safety-fears,2025-07-31 10:00:18+00:00,The commercial Unitree H1 humanoid robot weighs 104 pounds with 365 pound-feet torque per joint and demonstrates dangerous potential when software glitches occur.,-0.4767
Obsolete.pub,"Anthropic Faces Potentially ""Business-Ending"" Copyright Lawsuit",https://www.obsolete.pub/p/anthropic-faces-potentially-business,2025-07-29 11:41:26+00:00,A class action over pirated books exposes the 'responsible' AI company to penalties that could bankrupt it — and reshape the entire industry,-0.7184
Scientific American,Can a Chatbot be Conscious? Inside Anthropic’s Interpretability Research on Claude 4,https://www.scientificamerican.com/article/can-a-chatbot-be-conscious-inside-anthropics-interpretability-research-on/,2025-07-23 15:00:00+00:00,"As large language models like Claude 4 express uncertainty about whether they are conscious, researchers race to decode their inner workings, raising profound questions about machine awareness, ethics and the risks of uncontrolled AI evolution",-0.4588
The Verge,Truth Social’s new AI search engine basically just pushes Fox News,https://www.theverge.com/news/753863/trump-truth-social-ai-search-perplexity-conservative-bias,2025-08-07 14:04:06+00:00,"Donald Trump’s Truth Social has launched a new AI search feature that consistently pushes conservative media sources. The feature, Truth Search AI, is powered by the AI startup Perlexity and is now available on the web version of Trump’s social media platform…",0.7506
The Verge,xAI explains the Grok Nazi meltdown as Tesla puts Elon’s bot in its cars,https://www.theverge.com/news/706498/xai-grok-hitler-antisemitism-tesla-ai-bot,2025-07-13 00:54:56+00:00,"Several days after temporarily shutting down the Grok AI bot that was producing antisemitic posts and praising Hitler in response to user prompts, Elon Musk’s AI company tried to explain why that happened. In a series of posts on X, it said that “…we discover…",0.5423
Wired,Google Will Use AI to Guess People’s Ages Based on Search History,https://www.wired.com/story/security-news-this-week-google-will-use-ai-to-guess-peoples-ages-based-on-search-history/,2025-08-02 10:30:00+00:00,"Plus: A former top US cyber official loses her new job due to political backlash, Congress is rushing through a bill to censor lawmakers’ personal information online, and more.",-0.5423
Business Insider,Mark Cuban said the Trump administration needs to crack down on ads in AI models,https://www.businessinsider.com/cuban-trump-administration-crack-down-on-ads-in-ai-models-2025-7,2025-07-28 05:16:28+00:00,"""The last thing we need is to have algorithms designed to maximize revenue driving LLM output and interactions,"" Cuban wrote on X.",0.0
Gizmodo.com,OpenAI Hits Pause on Its Meta Killer,https://gizmodo.com/openai-hits-pause-on-its-meta-killer-2000629019,2025-07-14 20:23:21+00:00,"The ChatGPT maker was about to release its first major open-weight model, but a last-minute discovery has put the project on ice, fueling speculation about what went wrong.",-0.7783
Gizmodo.com,Illinois Bans AI From Providing Therapy,https://gizmodo.com/illinois-bans-ai-from-providing-therapy-2000639042,2025-08-05 16:00:04+00:00,The law prohibits AI from making independent therapeutic decisions.,0.0
Scientific American,"Why I’m Suing OpenAI, the Creator of ChatGPT",https://www.scientificamerican.com/article/why-im-suing-openai-the-creator-of-chatgpt/,2025-07-22 13:00:00+00:00,My lawsuit in Hawaii lays out the safety issues in OpenAI’s products and how they could irreparably harm both Hawaii and the rest of the U.S.,-0.5719
The Verge,Google’s Discover page now summarizes news with AI,https://www.theverge.com/news/708089/google-discover-ai-summaries-ios-android,2025-07-16 11:02:02+00:00,"Google is rolling out AI-generated summaries directly within Discover, its personalized news feed nestled within the Google Search app. TechCrunch reports that some users in the US are seeing Discover cards on iOS and Android that provide the new summaries in…",0.0
Gizmodo.com,Trump Releases His All-American Action Plan for AI,https://gizmodo.com/trump-releases-his-all-american-action-plan-for-ai-2000633155,2025-07-23 18:45:32+00:00,The goal? beat China. What that means? Who knows.,0.0
Substack.com,"""AI hype"" is the true AI product",https://hardresetmedia.substack.com/p/machine-learning-expert-ai-hype-is,2025-08-07 11:47:41+00:00,"An ex-big tech researcher worked deep in the ""information retrieval"" space. Now he wants to educate the public on the true capabilities and limitations of AI.",0.6808
The Verge,Trump is bringing back the AI law moratorium,https://www.theverge.com/ai-artificial-intelligence/712537/trump-ai-action-plan-white-house-ai-law-moratorium,2025-07-23 17:46:34+00:00,"The White House unveiled its long-awaited “AI Action Plan” on Wednesday, and it included a zombie: A resurrected form of the controversial AI law moratorium that died a very public death.  The failed congressional moratorium would have stipulated that no stat…",-0.9334
